Energy,counts/s,LogIntensity
295,18907.882,10.511096
294.9,18643.665,10.510696
294.8,18727.011,10.510296
294.7,19362.281,10.509896
294.6,19122.902,10.509496
294.5,19143.709,10.509095
294.4,19320.705,10.508695
294.3,18257.34,10.508295
294.2,19033.057,10.507895
294.1,19063.707,10.507494
294,19440.958,10.507094
293.9,19120.1,10.506694
293.8,18794.335,10.506293
293.7,19382.572,10.505893
293.6,19479.459,10.505492
293.5,19543.414,10.505092
293.4,19317.935,10.504691
293.3,19239.769,10.504291
293.2,19159.562,10.50389
293.1,19424.176,10.503489
293,19229.38,10.503089
292.9,19365.181,10.502688
292.8,19082.962,10.502287
292.7,18928.176,10.501887
292.6,18828.396,10.501486
292.5,19322.73,10.501085
292.4,18912.518,10.500684
292.3,18834.617,10.500283
292.2,18509.785,10.499882
292.1,19091.078,10.499481
292,18520.261,10.49908
291.9,18370.848,10.498679
291.8,18880.57,10.498278
291.7,18850.573,10.497877
291.6,18871.56,10.497475
291.5,18792.72,10.497074
291.4,18811.797,10.496673
291.3,19142.335,10.496272
291.2,18916.074,10.49587
291.1,19232.428,10.495469
291,18774.36,10.495067
290.9,19126.989,10.494666
290.8,19137.82,10.494265
290.7,19111.237,10.493863
290.6,18958.891,10.493462
290.5,18923.255,10.49306
290.4,18378.147,10.492658
290.3,18779.361,10.492257
290.2,19043.374,10.491855
290.1,19385.408,10.491453
290,19491.964,10.491051
289.9,19786.474,10.49065
289.8,19493.12,10.490248
289.7,20134.121,10.489846
289.6,20400.872,10.489444
289.5,20563.744,10.489042
289.4,20880.167,10.48864
289.3,20795.031,10.488238
289.2,21152.379,10.487836
289.1,21334.605,10.487434
289,20792.052,10.487032
288.9,21052.464,10.48663
288.8,20696.074,10.486228
288.7,20730.468,10.485825
288.6,20185.71,10.485423
288.5,20599.49,10.485021
288.4,20673.489,10.484618
288.3,20466.328,10.484216
288.2,20133.157,10.483814
288.1,20720.975,10.483411
288,20315.881,10.483009
287.9,20686.198,10.482606
287.8,20131.33,10.482204
287.7,19900.91,10.481801
287.6,19738.85,10.481398
287.5,20144.944,10.480996
287.4,20150.66,10.480593
287.3,20371.709,10.48019
287.2,20722.948,10.479788
287.1,21300.85,10.479385
287,21139.844,10.478982
286.9,21544.003,10.478579
286.8,21343.878,10.478176
286.7,21716.078,10.477773
286.6,22114.318,10.47737
286.5,21858.78,10.476967
286.4,21596.676,10.476564
286.3,22711.478,10.476161
286.2,23158.803,10.475758
286.1,23561.731,10.475355
286,24514.493,10.474952
285.9,24838.537,10.474548
285.8,25550.823,10.474145
285.7,25911.635,10.473742
285.6,26222.807,10.473338
285.5,26683.647,10.472935
285.4,26944.507,10.472532
285.3,27033.129,10.472128
285.2,27124.267,10.471725
285.1,26030.665,10.471321
285,26051.493,10.470918
284.9,25133.345,10.470514
284.8,24416.815,10.47011
284.7,22964.08,10.469707
284.6,22016.234,10.469303
284.5,21547.42,10.468899
284.4,20754.318,10.468496
284.3,20097.232,10.468092
284.2,19176.002,10.467688
284.1,19330.224,10.467284
284,19407.596,10.46688
283.9,19132.327,10.466476
283.8,18420.497,10.466072
283.7,18750.608,10.465668
283.6,18665.742,10.465264
283.5,19124.902,10.46486
283.4,18534.146,10.464456
283.3,18217.631,10.464052
283.2,18396.467,10.463648
283.1,17523.724,10.463243
283,18229.308,10.462839
282.9,18870.959,10.462435
282.8,17825.349,10.46203
282.7,17712.673,10.461626
282.6,18223.285,10.461222
282.5,18434.248,10.460817
282.4,18270.571,10.460413
282.3,18148.861,10.460008
282.2,18507.042,10.459604
282.1,18913.881,10.459199
282,18535.412,10.458794
281.9,18391.069,10.45839
281.8,18353.064,10.457985
281.7,18048.601,10.45758
281.6,18565.626,10.457176
281.5,18217.279,10.456771
281.4,18341.641,10.456366
281.3,18996.615,10.455961
281.2,18296.672,10.455556
281.1,18178.435,10.455151
281,18016.289,10.454746
280.9,18363.997,10.454341
280.8,18443.481,10.453936
280.7,18436.71,10.453531
280.6,18627.486,10.453126
280.5,18608.785,10.452721
280.4,18274.939,10.452316
280.3,18712.77,10.45191
280.2,18175.954,10.451505
280.1,18508.653,10.4511
280,18679.577,10.450694
279.9,18998.346,10.450289
279.8,18954.866,10.449884
279.7,19067.529,10.449478
279.6,18510.852,10.449073
279.5,18209.041,10.448667
279.4,18516.342,10.448262
279.3,18629.462,10.447856
279.2,18493.409,10.44745
279.1,18339.521,10.447045
279,18083.438,10.446639
278.9,18523.253,10.446233
278.8,18847.568,10.445828
278.7,17992.422,10.445422
278.6,18165.634,10.445016
278.5,18111.527,10.44461
278.4,18240.359,10.444204
278.3,18810.577,10.443798
278.2,18461.022,10.443392
278.1,18937.386,10.442986
278,18518.407,10.44258
277.9,18234.51,10.442174
277.8,18210.222,10.441768
277.7,18296.794,10.441362
277.6,18226.023,10.440955
277.5,18336.592,10.440549
277.4,18651.335,10.440143
277.3,18677.081,10.439737
277.2,18605.634,10.43933
277.1,18390.452,10.438924
277,18568.018,10.438518
276.9,18278.877,10.438111
276.8,17824.955,10.437705
276.7,18015.824,10.437298
276.6,18242.53,10.436892
276.5,18255.065,10.436485
276.4,17804.006,10.436078
276.3,19145.015,10.435672
276.2,18020.404,10.435265
276.1,18694.151,10.434858
276,18144.53,10.434451
275.9,18885.312,10.434045
275.8,18697.502,10.433638
275.7,19166.655,10.433231
275.6,18457.505,10.432824
275.5,18003.47,10.432417
275.4,18508.016,10.43201
275.3,18086.525,10.431603
275.2,18563.413,10.431196
275.1,18229.801,10.430789
275,18468.259,10.430382
