Binding Energy,Intensity
220.0,15543.608
219.9,14771.43
219.8,15184.866
219.7,15009.666
219.6,14498.169
219.5,14773.429
219.4,14868.74
219.3,14776.226
219.2,14778.515
219.1,14197.73
219.0,14242.823
218.9,14292.859
218.8,14218.364
218.7,14500.576
218.6,14235.825
218.5,14066.767
218.4,14379.332
218.3,13922.502
218.2,13888.155
218.1,13600.74
218.0,13700.469
217.9,13363.003
217.8,13524.297
217.7,13427.538
217.6,13575.967
217.5,13326.245
217.4,12954.931
217.3,12725.16
217.2,13213.035
217.1,13157.04
217.0,13288.127
216.9,13123.55
216.8,12969.852
216.7,12855.255
216.6,13099.406
216.5,12964.939
216.4,13001.247
216.3,12834.505
216.2,12721.209
216.1,12860.46
216.0,12865.599
215.9,12580.418
215.8,12831.809
215.7,12791.095
215.6,12630.346
215.5,12787.845
215.4,12867.991
215.3,12359.97
215.2,12540.968
215.1,12842.727
215.0,12765.893
214.9,12460.944
214.8,12462.966
214.7,12425.632
214.6,12295.641
214.5,12144.16
214.4,12108.421
214.3,11963.17
214.2,11975.62
214.1,11996.45
214.0,11909.23
213.9,11764.733
213.8,12062.892
213.7,11631.174
213.6,11405.966
213.5,11646.737
213.4,11622.322
213.3,11449.395
213.2,11700.481
213.1,11936.466
213.0,11749.612
212.9,11588.845
212.8,11500.644
212.7,11495.787
212.6,11538.803
212.5,11767.352
212.4,11981.613
212.3,11716.569
212.2,12018.652
212.1,12111.347
212.0,12337.092
211.9,12511.685
211.8,13320.556
211.7,13927.461
211.6,14654.892
211.5,16047.792
211.4,17740.425
211.3,20306.122
211.2,23090.809
211.1,27657.023
211.0,32652.346
210.9,39776.87
210.8,48246.597
210.7,54036.611
210.6,61988.796
210.5,68268.258
210.4,71757.875
210.3,72877.328
210.2,71770.058
210.1,66326.597
210.0,59809.602
209.9,51019.472
209.8,42788.347
209.7,35747.144
209.6,29162.213
209.5,24399.478
209.4,20819.35
209.3,17749.405
209.2,16381.455
209.1,15718.176
209.0,15971.593
208.9,16063.986
208.8,16743.651
208.7,18439.086
208.6,21656.804
208.5,26236.495
208.4,31568.968
208.3,39070.391
208.2,48149.727
208.1,58844.811
208.0,70894.738
207.9,82973.193
207.8,93026.557
207.7,100564.78
207.6,103755.73
207.5,102451.22
207.4,97216.572
207.3,88511.111
207.2,77054.995
207.1,63223.294
207.0,51499.456
206.9,41394.616
206.8,32045.588
206.7,25317.947
206.6,20494.811
206.5,17594.861
206.4,15273.085
206.3,14070.25
206.2,13555.514
206.1,13203.645
206.0,12716.398
205.9,12566.092
205.8,12233.831
205.7,12421.315
205.6,12148.971
205.5,12490.839
205.4,12635.126
205.3,12860.639
205.2,13377.642
205.1,14053.704
205.0,14622.796
204.9,14757.732
204.8,14546.018
204.7,14625.013
204.6,13508.23
204.5,11995.063
204.4,10435.252
204.3,8901.2811
204.2,7962.4162
204.1,7535.0603
204.0,7525.2053
203.9,7315.2175
203.8,7392.652
203.7,7376.6755
203.6,7516.0369
203.5,7613.231
203.4,7788.1267
203.3,7836.7537
203.2,7989.8833
203.1,8864.3032
203.0,9515.2671
202.9,10175.601
202.8,10614.385
202.7,11637.7
202.6,12894.551
202.5,13754.236
202.4,14979.068
202.3,16557.443
202.2,17450.158
202.1,18812.266
202.0,17962.081
201.9,16908.287
201.8,13578.613
201.7,10163.801
201.6,7219.8968
201.5,5495.2751
201.4,4779.0418
201.3,4284.4617
201.2,4168.7314
201.1,4089.7151
201.0,4009.7346
200.9,3860.1905
200.8,3947.5266
200.7,3889.4259
200.6,3607.0183
200.5,3665.142
200.4,3767.7041
200.3,3756.098
200.2,3776.9641
200.1,3812.3635
200.0,3635.1446
199.9,3592.2954
199.8,4006.0443
199.7,3597.0497
199.6,3719.5143
199.5,3562.3259
199.4,3908.3205
199.3,3823.1395
199.2,3742.8147
199.1,3665.7037
199.0,3494.9393
198.9,3647.9177
198.8,3633.7244
198.7,3733.6405
198.6,3684.4972
198.5,3869.3246
198.4,3675.2195
198.3,3579.9908
198.2,3708.6227
198.1,3608.3921
198.0,3461.9424
197.9,3630.4984
197.8,3563.7322
197.7,3417.1163
197.6,3675.5074
197.5,3700.1764
197.4,3552.573
197.3,3645.0562
197.2,3536.4059
197.1,3644.5276
197.0,3518.3737
196.9,3522.5258
196.8,3650.5378
196.7,3662.6743
196.6,3675.6607
196.5,3583.6907
196.4,3389.631
196.3,3734.7192
196.2,3517.533
196.1,3738.2967
196.0,3772.7979
195.9,3617.0208
195.8,3649.4558
195.7,3615.2597
195.6,3650.5398
195.5,3517.8766
195.4,3586.2369
195.3,3540.3429
195.2,3689.1672
195.1,3512.6086
195.0,3602.8892
