Energy,counts/sec,Transmission,,
220,7433.3221,10.202442,,
219.9,7196.1762,10.202023,,
219.8,7262.7145,10.201605,,
219.7,7221.4163,10.201186,,
219.6,7034.3922,10.200767,,
219.5,6874.5706,10.200349,,
219.4,6714.0108,10.19993,,
219.3,6840.5663,10.199511,,
219.2,6828.7823,10.199093,,
219.1,6797.3773,10.198674,,
219,6720.4751,10.198255,,
218.9,6646.171,10.197836,,
218.8,6614.934,10.197418,,
218.7,6931.2706,10.196999,,
218.6,6762.3754,10.19658,,
218.5,6532.1128,10.196162,,
218.4,6507.2702,10.195743,,
218.3,6783.7801,10.195324,,
218.2,6545.8801,10.194905,,
218.1,6625.2434,10.194487,,
218,6379.3535,10.194068,,
217.9,6370.9152,10.193649,,
217.8,6346.5927,10.193231,,
217.7,6303.3838,10.192812,,
217.6,6539.2738,10.192393,,
217.5,6292.607,10.191974,,
217.4,6179.9744,10.191556,,
217.3,6079.4773,10.191137,,
217.2,6187.351,10.190718,,
217.1,6333.5404,10.190299,,
217,6072.4199,10.189881,,
216.9,5972.2175,10.189462,,
216.8,6247.5324,10.189043,,
216.7,6019.5133,10.188624,,
216.6,5734.2474,10.188205,,
216.5,5880.9013,10.187787,,
216.4,5927.3628,10.187368,,
216.3,6085.754,10.186949,,
216.2,6148.1215,10.18653,,
216.1,5811.5545,10.186112,,
216,5925.3158,10.185693,,
215.9,5848.3678,10.185274,,
215.8,5709.21,10.184855,,
215.7,5763.2761,10.184436,,
215.6,5936.2155,10.184018,,
215.5,6020.1567,10.183599,,
215.4,6151.6295,10.18318,,
215.3,5733.7131,10.182761,,
215.2,5897.6826,10.182342,,
215.1,5884.4815,10.181924,,
215,6056.3746,10.181505,,
214.9,5683.9608,10.181086,,
214.8,5626.604,10.180667,,
214.7,5630.7039,10.180248,,
214.6,5699.0011,10.179829,,
214.5,5722.3614,10.179411,,
214.4,5398.1666,10.178992,,
214.3,5563.3959,10.178573,,
214.2,5520.5759,10.178154,,
214.1,5482.7374,10.177735,,
214,5367.5837,10.177316,,
213.9,5392.8756,10.176898,,
213.8,5410.1636,10.176479,,
213.7,5339.4804,10.17606,,
213.6,5244.1507,10.175641,,
213.5,5392.4921,10.175222,,
213.4,5399.469,10.174803,,
213.3,5452.4751,10.174385,,
213.2,5479.2644,10.173966,,
213.1,5372.9857,10.173547,,
213,5497.9038,10.173128,,
212.9,5357.6613,10.172709,,
212.8,5251.877,10.17229,,
212.7,5530.299,10.171871,,
212.6,5309.863,10.171453,,
212.5,5423.0803,10.171034,,
212.4,5573.0596,10.170615,,
212.3,5614.7696,10.170196,,
212.2,5603.4072,10.169777,,
212.1,5405.7018,10.169358,,
212,5323.6293,10.168939,,
211.9,5466.0202,10.168521,,
211.8,5765.1799,10.168102,,
211.7,6276.3879,10.167683,,
211.6,6873.6166,10.167264,,
211.5,6752.8018,10.166845,,
