Energy,Count/s,Transmission
215.0,20454.417,10.181505
214.9,20134.917,10.181086
214.8,20380.834,10.180667
214.7,20001.22,10.180248
214.6,20247.294,10.179829
214.5,19650.701,10.179411
214.4,19326.419,10.178992
214.3,20019.313,10.178573
214.2,19074.18,10.178154
214.1,19396.768,10.177735
214.0,19593.221,10.177316
213.9,19474.866,10.176898
213.8,19405.269,10.176479
213.7,19020.494,10.17606
213.6,18999.445,10.175641
213.5,19081.395,10.175222
213.4,19145.091,10.174803
213.3,18950.349,10.174385
213.2,19281.501,10.173966
213.1,18300.405,10.173547
213.0,18782.843,10.173128
212.9,18589.608,10.172709
212.8,18860.861,10.17229
212.7,19182.631,10.171871
212.6,18472.685,10.171453
212.5,18811.38,10.171034
212.4,19001.205,10.170615
212.3,19182.102,10.170196
212.2,19026.142,10.169777
212.1,19921.768,10.169358
212.0,20216.711,10.168939
211.9,20177.067,10.168521
211.8,20980.828,10.168102
211.7,22136.675,10.167683
211.6,22934.657,10.167264
211.5,25055.289,10.166845
211.4,27159.699,10.166426
211.3,30423.027,10.166007
211.2,35056.612,10.165589
211.1,40942.361,10.16517
211.0,47875.611,10.164751
210.9,56624.002,10.164332
210.8,66337.267,10.163913
210.7,75630.926,10.163494
210.6,85218.183,10.163075
210.5,93921.531,10.162657
210.4,99847.641,10.162238
210.3,101479.09,10.161819
210.2,101783.72,10.1614
210.1,96374.372,10.160981
210.0,88683.979,10.160562
209.9,78047.372,10.160143
209.8,67330.201,10.159725
209.7,55743.78,10.159306
209.6,47106.28,10.158887
209.5,39025.888,10.158468
209.4,32735.801,10.158049
209.3,28142.844,10.15763
209.2,25796.893,10.157211
209.1,24294.971,10.156793
209.0,23786.918,10.156374
208.9,24720.688,10.155955
208.8,26052.95,10.155536
208.7,28421.511,10.155117
208.6,32675.234,10.154698
208.5,38046.454,10.154279
208.4,45867.948,10.153861
208.3,55459.827,10.153442
208.2,67557.715,10.153023
208.1,82673.189,10.152604
208.0,96836.125,10.152185
207.9,113240.86,10.151766
207.8,127286.76,10.151348
207.7,139569.66,10.150929
207.6,144510.39,10.15051
207.5,145064.07,10.150091
207.4,139166.31,10.149672
207.3,128921.47,10.149253
207.2,113414.1,10.148835
207.1,97052.568,10.148416
207.0,80542.971,10.147997
206.9,64968.639,10.147578
206.8,52324.934,10.147159
206.7,41955.731,10.14674
206.6,34117.302,10.146322
206.5,29040.273,10.145903
206.4,25787.152,10.145484
206.3,23373.545,10.145065
206.2,22379.092,10.144646
206.1,20793.314,10.144228
206.0,20712.324,10.143809
205.9,20943.818,10.14339
205.8,21345.779,10.142971
205.7,21415.518,10.142552
205.6,21340.206,10.142134
205.5,22534.36,10.141715
205.4,23065.962,10.141296
205.3,24859.706,10.140877
205.2,25746.469,10.140458
205.1,27837.12,10.14004
205.0,29054.856,10.139621
204.9,30329.838,10.139202
204.8,31405.459,10.138783
204.7,30646.858,10.138365
204.6,28487.711,10.137946
204.5,25940.473,10.137527
204.4,22318.04,10.137108
204.3,19301.12,10.136689
204.2,16717.629,10.136271
204.1,15314.211,10.135852
204.0,14369.031,10.135433
203.9,14043.736,10.135014
203.8,13835.081,10.134596
203.7,14198.625,10.134177
203.6,14269.42,10.133758
203.5,14547.581,10.13334
203.4,14825.916,10.132921
203.3,15261.006,10.132502
203.2,16086.21,10.132083
203.1,16631.664,10.131665
203.0,17666.695,10.131246
202.9,18837.091,10.130827
202.8,19740.549,10.130409
202.7,22198.47,10.12999
202.6,24387.396,10.129571
202.5,26606.114,10.129152
202.4,30266.944,10.128734
202.3,33806.544,10.128315
202.2,38495.144,10.127896
202.1,40704.031,10.127478
202.0,40411.993,10.127059
201.9,38044.388,10.12664
201.8,32597.868,10.126222
201.7,24438.25,10.125803
201.6,17478.103,10.125384
201.5,11791.064,10.124966
201.4,8740.9858,10.124547
201.3,7579.9045,10.124129
201.2,7250.5494,10.12371
201.1,6826.314,10.123291
201.0,6700.717,10.122873
200.9,6691.0562,10.122454
200.8,7070.0559,10.122035
200.7,6820.6882,10.121617
200.6,6918.5796,10.121198
200.5,7135.3225,10.12078
200.4,6915.0479,10.120361
200.3,7211.7027,10.119942
200.2,7453.2334,10.119524
200.1,7049.4751,10.119105
200.0,7191.1051,10.118687
199.9,7191.4366,10.118268
199.8,7219.4354,10.11785
199.7,7183.0444,10.117431
199.6,6898.2638,10.117012
199.5,6713.9388,10.116594
199.4,7019.1984,10.116175
199.3,7310.8907,10.115757
199.2,6963.4577,10.115338
199.1,7104.4818,10.11492
199.0,7210.8207,10.114501
198.9,7578.8053,10.114083
198.8,8021.3501,10.113664
198.7,7735.4276,10.113246
198.6,7712.0428,10.112827
198.5,7908.4967,10.112409
198.4,7816.0092,10.11199
198.3,7710.0729,10.111572
198.2,7679.4892,10.111153
198.1,7495.7382,10.110735
198.0,7215.5522,10.110316
197.9,6958.3975,10.109898
197.8,6770.3137,10.10948
197.7,6280.1479,10.109061
197.6,6199.6945,10.108643
197.5,5970.0425,10.108224
197.4,5878.2047,10.107806
197.3,5831.6207,10.107387
197.2,5704.876,10.106969
197.1,5880.4899,10.106551
197.0,5742.5302,10.106132
196.9,5580.6673,10.105714
196.8,5645.2199,10.105295
196.7,5768.6732,10.104877
196.6,5740.2924,10.104459
196.5,5633.9747,10.10404
196.4,5732.4978,10.103622
196.3,5670.3743,10.103204
196.2,5765.9148,10.102785
196.1,5846.697,10.102367
196.0,5765.1974,10.101949
195.9,5659.5993,10.10153
195.8,5732.9512,10.101112
195.7,5393.1933,10.100694
195.6,5697.346,10.100275
195.5,5725.5153,10.099857
195.4,5565.4804,10.099439
195.3,5686.2331,10.099021
195.2,5914.993,10.098602
195.1,6082.5647,10.098184
195.0,6079.4777,10.097766
