Binding Energy,Intensity,Column3
215.0,20320.436,10.181505
214.9,19669.656,10.181086
214.8,20494.83,10.180667
214.7,19978.502,10.180248
214.6,20048.33,10.179829
214.5,19760.244,10.179411
214.4,20026.503,10.178992
214.3,19737.851,10.178573
214.2,19667.795,10.178154
214.1,19391.125,10.177735
214.0,19492.632,10.177316
213.9,19483.561,10.176898
213.8,19730.217,10.176479
213.7,19577.3,10.17606
213.6,19482.116,10.175641
213.5,19288.391,10.175222
213.4,19243.493,10.174803
213.3,19040.929,10.174385
213.2,19239.962,10.173966
213.1,19209.135,10.173547
213.0,19323.58,10.173128
212.9,19526.349,10.172709
212.8,19565.155,10.17229
212.7,19411.657,10.171871
212.6,19343.993,10.171453
212.5,19259.177,10.171034
212.4,19099.393,10.170615
212.3,19562.694,10.170196
212.2,19996.595,10.169777
212.1,20136.808,10.169358
212.0,20589.654,10.168939
211.9,20577.473,10.168521
211.8,21288.53,10.168102
211.7,22501.294,10.167683
211.6,23671.226,10.167264
211.5,24942.008,10.166845
211.4,27345.157,10.166426
211.3,30743.573,10.166007
211.2,34187.45,10.165589
211.1,38607.602,10.16517
211.0,46245.877,10.164751
210.9,53880.31,10.164332
210.8,62954.482,10.163913
210.7,72125.741,10.163494
210.6,81733.763,10.163075
210.5,90852.014,10.162657
210.4,97978.432,10.162238
210.3,101260.71,10.161819
210.2,102657.97,10.1614
210.1,99929.437,10.160981
210.0,92917.014,10.160562
209.9,83805.019,10.160143
209.8,73700.443,10.159725
209.7,63317.676,10.159306
209.6,54343.93,10.158887
209.5,47146.411,10.158468
209.4,40620.551,10.158049
209.3,35630.043,10.15763
209.2,32421.921,10.157211
209.1,30937.648,10.156793
209.0,30093.33,10.156374
208.9,30524.702,10.155955
208.8,30868.917,10.155536
208.7,32662.685,10.155117
208.6,35005.585,10.154698
208.5,39760.67,10.154279
208.4,45907.284,10.153861
208.3,54406.101,10.153442
208.2,65819.104,10.153023
208.1,78584.867,10.152604
208.0,93410.445,10.152185
207.9,108569.67,10.151766
207.8,123190.76,10.151348
207.7,136816.87,10.150929
207.6,143332.05,10.15051
207.5,145229.14,10.150091
207.4,143909.32,10.149672
207.3,135185.9,10.149253
207.2,121172.54,10.148835
207.1,106826.83,10.148416
207.0,90724.722,10.147997
206.9,75826.724,10.147578
206.8,62989.455,10.147159
206.7,52177.532,10.14674
206.6,44315.142,10.146322
206.5,38838.687,10.145903
206.4,34549.338,10.145484
206.3,31604.313,10.145065
206.2,29740.035,10.144646
206.1,28584.226,10.144228
206.0,27799.957,10.143809
205.9,26586.643,10.14339
205.8,26376.488,10.142971
205.7,26593.907,10.142552
205.6,26103.521,10.142134
205.5,26364.201,10.141715
205.4,26702.489,10.141296
205.3,26947.132,10.140877
205.2,27100.108,10.140458
205.1,28131.756,10.14004
205.0,28212.293,10.139621
204.9,28330.662,10.139202
204.8,28271.914,10.138783
204.7,26962.747,10.138365
204.6,24737.848,10.137946
204.5,22467.77,10.137527
204.4,20177.631,10.137108
204.3,17528.178,10.136689
204.2,15585.239,10.136271
204.1,14697.879,10.135852
204.0,14150.629,10.135433
203.9,14111.503,10.135014
203.8,14370.331,10.134596
203.7,14246.444,10.134177
203.6,14705.808,10.133758
203.5,14879.073,10.13334
203.4,15659.13,10.132921
203.3,16252.583,10.132502
203.2,16769.594,10.132083
203.1,17999.018,10.131665
203.0,18639.178,10.131246
202.9,20011.355,10.130827
202.8,21312.972,10.130409
202.7,22556.291,10.12999
202.6,24718.771,10.129571
202.5,26802.838,10.129152
202.4,28853.871,10.128734
202.3,30632.68,10.128315
202.2,31628.023,10.127896
202.1,31330.79,10.127478
202.0,31005.322,10.127059
201.9,28027.848,10.12664
201.8,23168.356,10.126222
201.7,18007.691,10.125803
201.6,13003.038,10.125384
201.5,9447.1757,10.124966
201.4,7686.0796,10.124547
201.3,6791.0191,10.124129
201.2,6478.4818,10.12371
201.1,5951.2377,10.123291
201.0,5953.8613,10.122873
200.9,6121.8174,10.122454
200.8,5954.4897,10.122035
200.7,6117.053,10.121617
200.6,5858.6164,10.121198
200.5,6103.3707,10.12078
200.4,5863.8601,10.120361
200.3,5912.3857,10.119942
200.2,6082.4739,10.119524
200.1,5879.4222,10.119105
200.0,5929.0534,10.118687
199.9,5840.4568,10.118268
199.8,5939.6862,10.11785
199.7,5751.1227,10.117431
199.6,5921.9523,10.117012
199.5,5816.3977,10.116594
199.4,5601.4076,10.116175
199.3,5738.9443,10.115757
199.2,5724.9722,10.115338
199.1,5787.7017,10.11492
199.0,5612.6176,10.114501
198.9,5646.9399,10.114083
198.8,5604.1031,10.113664
198.7,5738.5716,10.113246
198.6,5698.8365,10.112827
198.5,5797.7653,10.112409
198.4,5629.1615,10.11199
198.3,5889.8581,10.111572
198.2,5751.5838,10.111153
198.1,5624.8293,10.110735
