B.E.,Counts/sec,B.E. 2,Counts/s,B.E 3,Counts/sec,B.E. 4,Counts/sec,B.E. 5,Counts/sec
216.98,4154.873,216.718,4019.227,216.138,3610.613,216.873,3972.273,216.943,4009.527
216.88,4018.753,216.618,3964.067,216.038,3814.727,216.773,4038.653,216.843,3955.72
216.78,4177.527,216.518,4078.753,215.938,3718.813,216.673,4101.373,216.743,4187
216.68,3996.833,216.418,3977.087,215.838,3742.96,216.573,3839.287,216.643,4017.073
216.58,4204.72,216.318,3814.533,215.738,3722.053,216.473,3872.593,216.543,4166.533
216.48,4164.127,216.218,4034.78,215.638,3681.527,216.373,3900.02,216.443,4202.647
216.38,4098.573,216.118,3981.273,215.538,3591.913,216.273,3952.1,216.343,4072.193
216.28,3997.693,216.018,3812.52,215.438,3628.507,216.173,3871.953,216.243,3875.607
216.18,4169.427,215.918,3960.033,215.338,3542.033,216.073,3826.673,216.143,3931.64
216.08,3992.187,215.818,3934.993,215.238,3689.453,215.973,3756.113,216.043,3936.053
215.98,3974.367,215.718,3555.253,215.138,3459.127,215.873,3881.413,215.943,3900.38
215.88,4022.8,215.618,3790.513,215.038,3461.433,215.773,3723.38,215.843,3836.373
215.78,4069.38,215.518,3797.42,214.938,3334.22,215.673,3765.42,215.743,3830.707
215.68,3880.293,215.418,3792.72,214.838,3562.307,215.573,3763.78,215.643,3930.047
215.58,3803.227,215.318,3639.88,214.738,3686.54,215.473,3652.393,215.543,3984.513
215.48,3835.747,215.218,3629.087,214.638,3588.633,215.373,3770.32,215.443,3927.413
215.38,3764.8,215.118,3789.6,214.538,3537.773,215.273,3763.7,215.343,4160.553
215.28,3654.34,215.018,3869.207,214.438,3289.44,215.173,3778.053,215.243,3894.833
215.18,3960.02,214.918,3807.827,214.338,3417.593,215.073,3706.84,215.143,3916.18
215.08,4040.647,214.818,3810.327,214.238,3358.927,214.973,3914.88,215.043,3770.173
214.98,3781.807,214.718,3574.473,214.138,3392.953,214.873,4003.7,214.943,3683.993
214.88,3768.913,214.618,3581.927,214.038,3350.987,214.773,3762.793,214.843,3730.46
214.78,3763.653,214.518,3637.64,213.938,3240.113,214.673,3895.393,214.743,3660.607
214.68,3804.147,214.418,3480.453,213.838,3396.267,214.573,3537.68,214.643,3888.433
214.58,3924.66,214.318,3670.307,213.738,3467.373,214.473,3647.193,214.543,3850.293
214.48,3913.587,214.218,3722.6,213.638,3268.4,214.373,3756.013,214.443,3751.247
214.38,3869.127,214.118,3431.207,213.538,3396.28,214.273,3557.633,214.343,3919.073
214.28,3852.907,214.018,3435.467,213.438,3295.933,214.173,3526.873,214.243,3827.647
214.18,3463.707,213.918,3500.193,213.338,3227.627,214.073,3476.953,214.143,3581.34
214.08,3471.393,213.818,3418.88,213.238,3186.187,213.973,3536.453,214.043,3816.1
